timestamp,open,high,low,close
2015-04-03,1.08875,1.10270,1.07120,1.09635
2015-03-27,1.08391,1.10522,1.07660,1.08935
2015-03-20,1.04990,1.10400,1.04760,1.08115
2015-03-13,1.08382,1.09065,1.04610,1.05000
2015-03-06,1.11814,1.12405,1.08342,1.08455
2015-02-27,1.13790,1.13932,1.11730,1.11865
2015-02-20,1.13987,1.14501,1.12779,1.13793
2015-02-13,1.13122,1.14431,1.12670,1.13775
2015-02-06,1.13116,1.15338,1.12900,1.13095
2015-01-30,1.11430,1.14225,1.10966,1.12859
2015-01-23,1.15636,1.16796,1.11130,1.12031
2015-01-16,1.18667,1.18709,1.14580,1.15689
2015-01-09,1.19453,1.19763,1.17520,1.18359
2015-01-02,1.21772,1.22209,1.19925,1.19965
2014-12-26,1.22204,1.22726,1.21620,1.21810
2014-12-19,1.24739,1.25699,1.22188,1.22255
2014-12-12,1.22847,1.24952,1.22450,1.24600
2014-12-05,1.24462,1.25065,1.22697,1.22850
2014-11-28,1.23724,1.25316,1.23620,1.24510
2014-11-21,1.25290,1.30000,1.23750,1.23870
2014-11-14,1.24720,1.25440,1.23940,1.25230
2014-11-07,1.25060,1.25720,1.23630,1.24520
2014-10-31,1.26730,1.27680,1.24890,1.25210
2014-10-24,1.27550,1.28380,1.26160,1.26690
2014-10-17,1.26280,1.28750,1.26250,1.27580
2014-10-10,1.25140,1.27880,1.25080,1.26270
2014-10-03,1.26800,1.27130,1.25000,1.25120
2014-09-26,1.28260,1.28980,1.26760,1.26830
2014-09-19,1.29680,1.29940,1.28280,1.28290
2014-09-12,1.29530,1.29770,1.28590,1.29610
2014-09-05,1.31290,1.31590,1.29220,1.29510
2014-08-29,1.31910,1.32170,1.31310,1.31330
2014-08-22,1.33910,1.33980,1.32230,1.32450
2014-08-15,1.34070,1.34140,1.33370,1.33980
2014-08-08,1.34260,1.34310,1.33330,1.34100
2014-08-01,1.34290,1.34440,1.33680,1.34300
2014-07-25,1.35260,1.35480,1.34220,1.34340
2014-07-18,1.36050,1.36390,1.34920,1.35240
2014-07-11,1.35930,1.36500,1.35750,1.36050
2014-07-04,1.36440,1.36960,1.35850,1.35960
2014-06-27,1.35950,1.36490,1.35750,1.36470
2014-06-20,1.35380,1.36420,1.35130,1.36000
